Category,Category.main,,,,,
31_fertilizers,Agriculture,,,,,
29_organic_chemicals,Agriculture,,,,,
11_milling_products_malt_starches_inulin_wheat_glute,Agriculture,,,,,
12_oil_seed_oleagic_fruits_grain_seed_fruit_etc_ne,Agriculture,,,,,
09_coffee_tea_mate_and_spices,Agriculture,,,,,
08_edible_fruit_nuts_peel_of_citrus_fruit_melons,Agriculture,,,,,
07_edible_vegetables_and_certain_roots_and_tubers,Agriculture,,,,,
20_vegetable_fruit_nut_etc_food_preparations,Agriculture,,,,,
19_cereal_flour_starch_milk_preparations_and_products,Agriculture,,,,,
44_wood_and_articles_of_wood_wood_charcoal,Agriculture,,,,,
48_paper_paperboard_articles_of_pulp_paper_and_board,Agriculture,,,,,
40_rubber_and_articles_thereof,Agriculture,,,,,
52_cotton,Agriculture,,,,,
53_vegetable_textile_fibres_nes_paper_yarn_woven_fabri,Agriculture,,,,,
23_residues_wastes_of_food_industry_animal_fodder,Agriculture,,,,,
10_cereals,Agriculture,,,,,
06_live_trees_plants_bulbs_roots_cut_flowers_etc,Agriculture,,,,,
18_cocoa_and_cocoa_preparations,Agriculture,,,,,
13_lac_gums_resins_vegetable_saps_and_extracts_nes,Agriculture,,,,,
45_cork_and_articles_of_cork,Agriculture,,,,,
14_vegetable_plaiting_materials_vegetable_products_nes,Agriculture,,,,,
27_mineral_fuels_oils_distillation_products_etc,Energy,,,,,
84_nuclear_reactors_boilers_machinery_etc,Energy,,,,,
02_meat_and_edible_meat_offal,Livestock and Meat,,,,,
16_meat_fish_and_seafood_food_preparations_nes,Livestock and Meat,,,,,
04_dairy_products_eggs_honey_edible_animal_product_nes,Livestock and Meat,,,,,
03_fish_crustaceans_molluscs_aquatic_invertebrates_ne,Livestock and Meat,,,,,
42_articles_of_leather_animal_gut_harness_travel_good,Livestock and Meat,,,,,
01_live_animals,Livestock and Meat,,,,,
28_inorganic_chemicals_precious_metal_compound_isotope,Metals,,,,,
72_iron_and_steel,Metals,,,,,5588
81_other_base_metals_cermets_articles_thereof,Metals,,,,,
74_copper_and_articles_thereof,Metals,,,,,
76_aluminium_and_articles_thereof,Metals,,,,,
71_pearls_precious_stones_metals_coins_etc,Metals,,,,,
73_articles_of_iron_or_steel,Metals,,,,,
26_ores_slag_and_ash,Metals,,,,,
75_nickel_and_articles_thereof,Metals,,,,,
79_zinc_and_articles_thereof,Metals,,,,,
78_lead_and_articles_thereof,Metals,,,,,
80_tin_and_articles_thereof,Metals,,,,,
41_raw_hides_and_skins_other_than_furskins_and_leather,Others,,,,,
15_animal_vegetable_fats_and_oils_cleavage_products_et,Others,,,,,
l,Others,,,,,
51_wool_animal_hair_horsehair_yarn_and_fabric_thereof,Others,,,,,
37_photographic_or_cinematographic_goods,Others,,,,,
59_impregnated_coated_or_laminated_textile_fabric,Others,,,,,
57_carpets_and_other_textile_floor_coverings,Others,,,,,
58_special_woven_or_tufted_fabric_lace_tapestry_etc,Others,,,,,
92_musical_instruments_parts_and_accessories,Others,,,,,
56_wadding_felt_nonwovens_yarns_twine_cordage_etc,Others,,,,,
69_ceramic_products,Others,,,,,
68_stone_plaster_cement_asbestos_mica_etc_articles,Others,,,,,
30_pharmaceutical_products,Others,,,,,
39_plastics_and_articles_thereof,Others,,,,,
91_clocks_and_watches_and_parts_thereof,Others,,,,,
32_tanning_dyeing_extracts_tannins_derivs_pigments_et,Others,,,,,
38_miscellaneous_chemical_products,Others,,,,,
54_manmade_filaments,Others,,,,,
62_articles_of_apparel_accessories_not_knit_or_crochet,Others,,,,,
95_toys_games_sports_requisites,Others,,,,,
64_footwear_gaiters_and_the_like_parts_thereof,Others,,,,,
61_articles_of_apparel_accessories_knit_or_crochet,Others,,,,,
70_glass_and_glassware,Others,,,,,
22_beverages_spirits_and_vinegar,Others,,,,,
34_soaps_lubricants_waxes_candles_modelling_pastes,Others,,,,,
83_miscellaneous_articles_of_base_metal,Others,,,,,
49_printed_books_newspapers_pictures_etc,Others,,,,,
33_essential_oils_perfumes_cosmetics_toileteries,Others,,,,,
55_manmade_staple_fibres,Others,,,,,
63_other_made_textile_articles_sets_worn_clothing_etc,Others,,,,,
96_miscellaneous_manufactured_articles,Others,,,,,
21_miscellaneous_edible_preparations,Others,,,,,
90_optical_photo_technical_medical_etc_apparatus,Others,,,,,
94_furniture_lighting_signs_prefabricated_buildings,Others,,,,,
82_tools_implements_cutlery_etc_of_base_metal,Others,,,,,
87_vehicles_other_than_railway_tramway,Others,,,,,
85_electrical_electronic_equipment,Others,,,,,
60_knitted_or_crocheted_fabric,Others,,,,,
17_sugars_and_sugar_confectionery,Others,,,,,
86_railway_tramway_locomotives_rolling_stock_equipmen,others,,,,,
89_ships_boats_and_other_floating_structures,Others,,,,,
35_albuminoids_modified_starches_glues_enzymes,others,,,,,
93_arms_and_ammunition_parts_and_accessories_thereof,others,,,,,
88_aircraft_spacecraft_and_parts_thereof,others,,,,,
47_pulp_of_wood_fibrous_cellulosic_material_waste_etc,others,,,,,
05_products_of_animal_origin_nes,others,,,,,
65_headgear_and_parts_thereof,others,,,,,
24_tobacco_and_manufactured_tobacco_substitutes,others,,,,,
43_furskins_and_artificial_fur_manufactures_thereof,others,,,,,
36_explosives_pyrotechnics_matches_pyrophorics_etc,others,,,,,
67_bird_skin_feathers_artificial_flowers_human_hair,others,,,,,
97_works_of_art_collectors_pieces_and_antiques,others,,,,,
66_umbrellas_walking_sticks_seat_sticks_whips_etc,others,,,,,
50_silk,others,,,,,
46_manufactures_of_plaiting_material_basketwork_etc,others,,,,,
all_commodities,Others,,,,,
99_commodities_not_specified_according_to_kind,Others,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
582550579,,,,,,
