Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
aruba,ABW,2623726257,2791960894,2498932961,2467703911,2584463687,NA,NA,NA,NA,NA
afghanistan,AFG,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20264253974,20616104298,19215562179,19469022208
angola,AGO,60448924662,84178035579,75492385928,82526143645,1.04E+11,1.14E+11,1.25E+11,1.27E+11,1.03E+11,95337203468
albania,ALB,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12776277515,13228244357,11386931490,11883682171
andorra,AND,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947
arab world,ARB,1.64E+12,2.08E+12,1.80E+12,2.11E+12,2.50E+12,2.79E+12,2.87E+12,2.91E+12,2.55E+12,2.50E+12
united arab emirates,ARE,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.75E+11,3.90E+11,4.03E+11,3.58E+11,3.57E+11
argentina,ARG,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.55E+11
armenia,ARM,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160
american samoa,ASM,5.20E+08,5.63E+08,6.78E+08,5.76E+08,5.74E+08,6.44E+08,6.41E+08,6.43E+08,6.59E+08,6.58E+08
antigua and barbuda,ATG,1311401333,1368431037,1224253000,1152469074,1142042926,1211411704,1192925407,1280133333,1364863037,1460144704
australia,AUS,8.52E+11,1.05E+12,9.26E+11,1.14E+12,1.39E+12,1.54E+12,1.57E+12,1.46E+12,1.35E+12,1.21E+12
austria,AUT,3.89E+11,4.30E+11,4.00E+11,3.92E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.91E+11
azerbaijan,AZE,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957
burundi,BDI,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3066681387,3007029030
belgium,BEL,4.72E+11,5.19E+11,4.85E+11,4.84E+11,5.27E+11,4.98E+11,5.21E+11,5.31E+11,4.55E+11,4.68E+11
benin,BEN,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9157355680,9707432016,8291155881,8573159697
burkina faso,BFA,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,11448781714
bangladesh,BGD,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11
bulgaria,BGR,44411476557,54409138498,51884481410,50610058210,57418414504,53903022339,55758754072,56731990232,50199104511,53240893665
bahrain,BHR,2.17E+10,25710877660,22938218085,25713271277,28776595745,30749308511,32539547872,33387712766,31125851064,32152686170
"bahamas, the",BHS,10618340000,1.05E+10,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000
bosnia and herzegovina,BIH,15776422673,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16209702864,16911088174
belarus,BLR,45277399814,60763483146,49209523810,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821
belize,BLZ,1290573400,1368625150,1336957250,1397113450,1487005600,1573670250,1612573850,1703951050,1778567600,1820158550
bermuda,BMU,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,NA,NA,NA
bolivia,BOL,13120183157,16674324634,17339992165,19649631308,23963033444,27084497540,30659338929,32996187988,33000198263,33941126194
brazil,BRA,1.40E+12,1.70E+12,1.67E+12,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.79E+12
barbados,BRB,4523750000,4607300000,4434050000,4461650000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000
brunei darussalam,BRN,12247694247,14393099069,10732366286,13707370737,18525319978,19048495519,18093829923,17098342541,12930394938,11400653960
bhutan,BTN,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1944782821,2059258653,2212638830
botswana,BWA,10939053365,10945070442,10267133178,12786654366,15682926896,14686278707,14915780539,16250774267,14420551446,15648700274
central african republic,CAF,1697565949,1985240986,1981732634,1986015906,2195599557,2169706564,1518565298,1702899386,1583776806,1755468137
canada,CAN,1.46E+12,1.55E+12,1.37E+12,1.61E+12,1.79E+12,1.82E+12,1.84E+12,1.80E+12,1.56E+12,1.54E+12
central europe and the baltics,CEB,1.27E+12,1.53E+12,1.29E+12,1.31E+12,1.45E+12,1.35E+12,1.42E+12,1.46E+12,1.29E+12,1.31E+12
switzerland,CHE,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.79E+11,6.69E+11
channel islands,CHI,11514605842,NA,NA,NA,NA,NA,NA,NA,NA,NA
chile,CHL,1.74E+11,1.80E+11,1.72E+11,2.19E+11,2.52E+11,2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.50E+11
china,CHN,3.55E+12,4.60E+12,5.11E+12,6.10E+12,7.57E+12,8.56E+12,9.61E+12,1.05E+13,1.11E+13,1.12E+13
cote d'ivoire,CIV,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31273049200,35372603446,33145096414,36374849865
cameroon,CMR,22365265026,26409781215,26017925552,26143818510,29337006833,29104437355,32348149947,34942948737,30916218544,32217537943
"congo, dem. rep.",COD,16737071816,19788515874,18648373312,21565722425,25839749199,29306223081,32671683662,35917650630,37917704900,34991160100
"congo, rep.",COG,8394688284,11859013281,9593537551,12007880439,14425607180,13677930124,14085851348,14177437982,8553154580,7833508879
colombia,COL,2.07E+11,2.44E+11,2.34E+11,2.87E+11,3.35E+11,3.70E+11,3.80E+11,3.78E+11,2.92E+11,2.80E+11
comoros,COM,462453582.9,523134897,524157261,530493353.2,586281766.8,570865941.2,618663921.9,647720707.1,565689764.6,616654490.4
cabo verde,CPV,1513933983,1789333749,1711817182,1664310770,1864824081,1751888562,1850951315,1858121723,1596154666,1638927336
costa rica,CRI,26743874206,30612932876,30562361123,37268635287,42262697840,46473128286,49745088112,50577769838,54775972989,56988989897
caribbean small states,CSS,60670805980,68875542818,58049437076,63131259584,68378335170,70576655404,71378769877,72525038828,70918077437,67787681466
cuba,CUB,58603900000,60806300000,6.21E+10,6.43E+10,6.90E+10,7.31E+10,7.71E+10,80656100000,87132800000,NA
curacao,CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cayman islands,CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyprus,CYP,24077470572,27839460964,25942622951,25562251656,27427161523,25041372222,24084572491,23359294149,19676167240,20153871681
czech republic,CZE,1.89E+11,2.36E+11,2.06E+11,2.07E+11,2.28E+11,2.07E+11,2.09E+11,2.08E+11,1.87E+11,1.95E+11
germany,DEU,3.44E+12,3.75E+12,3.42E+12,3.42E+12,3.76E+12,3.54E+12,3.75E+12,3.89E+12,3.38E+12,3.48E+12
djibouti,DJI,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,1324733712,1455035089,1633741923,1764268469
dominica,DMA,421375851.9,458190185.2,489074333.3,493824407.4,501025296.3,485998000,501979259.3,523666333.3,535095851.9,581484037
denmark,DNK,3.19E+11,3.53E+11,3.21E+11,3.22E+11,3.44E+11,3.27E+11,3.44E+11,3.53E+11,3.01E+11,3.07E+11
dominican republic,DOM,44169678153,48288967303,48376555306,53982886258,57811180659,60657780261,62661773592,66065015410,68802092021,72342967648
algeria,DZA,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11,1.59E+11
east asia & pacific (excluding high income),EAP,4.73E+12,5.99E+12,6.50E+12,7.88E+12,9.64E+12,1.07E+13,1.19E+13,1.28E+13,1.33E+13,1.35E+13
early-demographic dividend,EAR,6.47E+12,7.29E+12,7.01E+12,8.52E+12,9.57E+12,1.00E+13,1.02E+13,1.06E+13,1.02E+13,1.04E+13
east asia & pacific,EAS,1.22E+13,1.41E+13,1.45E+13,1.69E+13,1.96E+13,2.10E+13,2.13E+13,2.19E+13,2.18E+13,2.25E+13
europe & central asia (excluding high income),ECA,2.67E+12,3.31E+12,2.60E+12,3.10E+12,3.83E+12,4.05E+12,4.31E+12,4.02E+12,3.07E+12,2.94E+12
europe & central asia,ECS,2.12E+13,2.32E+13,2.04E+13,2.09E+13,2.32E+13,2.23E+13,2.34E+13,2.37E+13,2.04E+13,2.03E+13
ecuador,ECU,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.02E+11,99290381000,98613972000
"egypt, arab rep.",EGY,1.30E+11,1.63E+11,1.89E+11,2.19E+11,2.36E+11,2.79E+11,2.89E+11,3.06E+11,3.33E+11,3.33E+11
euro area,EMU,1.29E+13,1.41E+13,1.29E+13,1.26E+13,1.36E+13,1.26E+13,1.32E+13,1.35E+13,1.17E+13,1.19E+13
eritrea,ERI,1317974491,1380188800,1856695551,2117039512,2607739837,NA,NA,NA,NA,NA
spain,ESP,1.48E+12,1.64E+12,1.50E+12,1.43E+12,1.49E+12,1.34E+12,1.36E+12,1.38E+12,1.20E+12,1.24E+12
estonia,EST,22237061730,24194039256,19652492637,19490936349,23170239901,23043864510,25137153149,26224622451,22566956982,23337907619
ethiopia,ETH,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64464547915,73000980434
european union,EUU,1.78E+13,1.91E+13,1.71E+13,1.70E+13,1.84E+13,1.73E+13,1.80E+13,1.86E+13,1.64E+13,1.65E+13
fragile and conflict affected situations,FCS,4.46E+11,5.77E+11,5.39E+11,6.41E+11,7.05E+11,8.12E+11,8.44E+11,8.54E+11,7.59E+11,7.24E+11
finland,FIN,2.55E+11,2.84E+11,2.51E+11,2.48E+11,2.74E+11,2.57E+11,2.70E+11,2.73E+11,2.32E+11,2.39E+11
fiji,FJI,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4483416340,4362128146,4671313315
france,FRA,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12
faroe islands,FRO,2278229880,2413251996,2257083699,2301168187,2468754075,2356495468,2613464380,2810547884,2476746087,NA
"micronesia, fed. sts.",FSM,256548100,262868600,279966700,296525300,310502100,326128700,316040600,317999400,315179700,329895600
gabon,GAB,12438956756,15508574820,12065138273,14358631634,18186515200,17171468469,17590680917,18179666879,14377389786,14014278017
united kingdom,GBR,3.07E+12,2.89E+12,2.38E+12,2.44E+12,2.62E+12,2.66E+12,2.74E+12,3.02E+12,2.89E+12,2.65E+12
georgia,GEO,10172869680,12795044473,10766809099,11638536834,14434619982,15846474596,16140047012,16509305828,13993546732,14378016732
ghana,GHA,24758819718,28526891010,25977847814,32174772956,39566292433,41939728979,47805069495,39086625009,37338430643,42803583022
gibraltar,GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
guinea,GIN,5836261225,7009809997,6493151288,6992497899,6511123904,7504778989,8263033525,8765067644,8857789706,9275886117
"gambia, the",GMB,798885556.5,965781078.2,900639534,951806368.7,898290989.9,910026155.7,898947649.5,833249466.8,907655651.5,962797146.5
guinea-bissau,GNB,695990208.4,864654795.3,826798659.8,850633309.8,1099385895,989875559.1,1045790133,1053512334,1047808175,1178204501
equatorial guinea,GNQ,13071718759,19749893536,15027795173,16298542028,21329395901,22389627294,21942597765,21736500713,13180194733,11259559879
greece,GRC,3.18E+11,3.54E+11,3.30E+11,2.99E+11,2.88E+11,2.46E+11,2.40E+11,2.37E+11,1.96E+11,1.93E+11
grenada,GRD,758683592.6,825977888.9,771278111.1,771015888.9,778648666.7,799882148.1,842620111.1,911481481.5,997007925.9,1056188593
greenland,GRL,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2669515517,2837737194,2520206900,2705891617
guatemala,GTM,34113107086,39136893345,37733994976,41338595381,47654841113,50388454861,53851058955,58722323918,63767597194,68663653469
guam,GUM,4.38E+09,4.62E+09,4.78E+09,4.90E+09,4.93E+09,5.20E+09,5.34E+09,5.53E+09,5.70E+09,5.79E+09
guyana,GUY,1740334782,1922598121,2061323854,2273225042,2576024116,2861562266,2990006534,3077086276,3166029056,3504024213
high income,HIC,4.37E+13,4.65E+13,4.36E+13,4.57E+13,4.94E+13,4.95E+13,5.00E+13,5.10E+13,4.83E+13,4.93E+13
"hong kong sar, china",HKG,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11
honduras,HND,12275501784,13789715133,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21643936939
heavily indebted poor countries (hipc),HPC,3.48E+11,4.21E+11,4.24E+11,4.69E+11,5.24E+11,5.64E+11,6.13E+11,6.50E+11,6.40E+11,6.52E+11
croatia,HRV,60093222709,70481451449,62703143057,59829574391,62375044443,56565475275,58085856019,57629518806,49425513611,51338524831
haiti,HTI,5885325590,6548530572,6584649419,6622541529,7516834160,7890216508,8452509316,8776350790,8724656126,7970649131
hungary,HUN,1.40E+11,1.58E+11,1.31E+11,1.31E+11,1.41E+11,1.28E+11,1.35E+11,1.40E+11,1.23E+11,1.26E+11
ibrd only,IBD,1.41E+13,1.69E+13,1.64E+13,2.00E+13,2.36E+13,2.51E+13,2.65E+13,2.74E+13,2.59E+13,2.60E+13
ida & ibrd total,IBT,1.51E+13,1.81E+13,1.76E+13,2.14E+13,2.53E+13,2.69E+13,2.85E+13,2.95E+13,2.79E+13,2.80E+13
ida total,IDA,9.55E+11,1.15E+12,1.13E+12,1.46E+12,1.66E+12,1.79E+12,1.94E+12,2.10E+12,2.03E+12,1.99E+12
ida blend,IDB,4.35E+11,5.19E+11,4.82E+11,7.10E+11,8.15E+11,8.97E+11,9.74E+11,1.06E+12,9.86E+11,9.24E+11
indonesia,IDN,4.32E+11,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11
ida only,IDX,5.19E+11,6.30E+11,6.50E+11,7.38E+11,8.34E+11,8.81E+11,9.60E+11,1.04E+12,1.04E+12,1.06E+12
isle of man,IMN,5685988395,5827468750,5487083658,5920177689,6142169524,6433357030,6754330155,7428280402,6792417112,NA
india,IND,1.20E+12,1.19E+12,1.32E+12,1.66E+12,1.82E+12,1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.27E+12
not classified,INX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ireland,IRL,2.70E+11,2.75E+11,2.36E+11,2.22E+11,2.39E+11,2.26E+11,2.39E+11,2.58E+11,2.91E+11,3.05E+11
"iran, islamic rep.",IRN,3.50E+11,4.06E+11,4.14E+11,4.87E+11,5.84E+11,5.99E+11,4.67E+11,4.34E+11,3.86E+11,4.19E+11
iraq,IRQ,88840050497,1.32E+11,1.12E+11,1.39E+11,1.86E+11,2.18E+11,2.35E+11,2.35E+11,1.80E+11,1.71E+11
iceland,ISL,21319946740,17658408759,12944114736,13310567803,14732689535,14292008745,15548321544,17304033021,16942247374,20304098101
israel,ISR,1.79E+11,2.16E+11,2.07E+11,2.34E+11,2.62E+11,2.57E+11,2.92E+11,3.08E+11,2.99E+11,3.18E+11
italy,ITA,2.20E+12,2.39E+12,2.19E+12,2.13E+12,2.28E+12,2.07E+12,2.13E+12,2.15E+12,1.83E+12,1.86E+12
jamaica,JAM,12824094990,13678606692,12038829246,13191645686,14439910353,14800165407,14274983016,13897723431,14186886643,14056908749
jordan,JOR,17110587447,21972004086,23820230000,26425379437,28840263380,30937277606,33593843662,35826925775,37517410282,38654727746
japan,JPN,4.52E+12,5.04E+12,5.23E+12,5.70E+12,6.16E+12,6.20E+12,5.16E+12,4.85E+12,4.39E+12,4.95E+12
kazakhstan,KAZ,1.05E+11,1.33E+11,1.15E+11,1.48E+11,1.93E+11,2.08E+11,2.37E+11,2.21E+11,1.84E+11,1.37E+11
kenya,KEN,31958195182,35895153328,37021512049,40000088347,41954942417,50334699324,55096730083,61448046802,64007293815,70875289605
kyrgyz republic,KGZ,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066
cambodia,KHM,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754
kiribati,KIR,130754915.9,139125482.3,130465372,153275912.7,177142135.1,188045661.6,187153601.1,178869298.7,169140560.4,181551516.5
st. kitts and nevis,KNA,674008481.5,738942555.6,723209111.1,705015370.4,753225963,734462666.7,788163888.9,847778185.2,878281518.5,909854629.6
"korea, rep.",KOR,1.12E+12,1.00E+12,9.02E+11,1.09E+12,1.20E+12,1.22E+12,1.31E+12,1.41E+12,1.38E+12,1.41E+12
kuwait,KWT,1.15E+11,1.47E+11,1.06E+11,1.15E+11,1.54E+11,1.74E+11,1.74E+11,1.63E+11,1.15E+11,1.11E+11
latin america & caribbean (excluding high income),LAC,3.30E+12,3.83E+12,3.60E+12,4.47E+12,5.05E+12,5.07E+12,5.19E+12,5.34E+12,4.38E+12,4.26E+12
lao pdr,LAO,4222962988,5443915121,5832915387,7127792630,8749241114,10191350120,11942230508,13268458232,14390391264,15805707154
lebanon,LBN,24577114428,29227350570,35477118070,38419626628,40075674163,43868565282,46014226808,47833413749,49459296463,49598825982
liberia,LBR,739027200,850040500,1155147400,1292697100,1545400000,1735500000,1946500000,2.01E+09,2.03E+09,2.10E+09
libya,LBY,67516236338,87140405361,63028320702,74773444901,34699395524,81873662519,65502870174,41142722414,29274816454,32257171354
st. lucia,LCA,1277494148,1282215407,1262973407,1381968259,1437684815,1436803333,1489928889,1551921037,1649142630,1667078704
